IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
158.180.84.48,8080,0,false,NRT,Asia Pacific,Tokyo,118,11.16
132.145.41.115,8443,0,true,LHR,Europe,London,173,11.16
130.162.154.137,8080,8080,false,NRT,Asia Pacific,Tokyo,166,11.16
140.238.97.113,2053,0,true,LHR,Europe,London,181,11.16
144.21.58.128,2087,0,true,LHR,Europe,London,227,11.16
131.186.30.129,2083,0,true,NRT,Asia Pacific,Tokyo,115,11.16
132.145.69.182,80,80,false,LHR,Europe,London,160,11.15
132.145.42.226,2096,0,true,LHR,Europe,London,183,11.15
144.21.48.156,2087,0,true,LHR,Europe,London,160,11.15
141.147.149.208,80,0,false,KIX,Asia Pacific,Osaka,79,11.15
140.238.102.109,8443,0,true,LHR,Europe,London,189,11.15
131.186.18.243,8443,0,true,NRT,Asia Pacific,Tokyo,113,11.15
144.21.63.229,8880,8880,false,LHR,Europe,London,182,11.15
132.145.74.116,2053,0,true,LHR,Europe,London,175,11.15
129.154.48.187,80,80,false,NRT,Asia Pacific,Tokyo,119,11.15
132.145.40.11,80,80,false,LHR,Europe,London,161,11.15
144.21.62.156,2082,2082,false,LHR,Europe,London,161,11.15
193.122.113.232,80,80,false,NRT,Asia Pacific,Tokyo,116,11.15
64.110.99.235,2086,0,false,KIX,Asia Pacific,Osaka,89,11.14
141.147.144.118,2095,0,false,KIX,Asia Pacific,Osaka,91,11.14
132.145.73.236,80,80,false,LHR,Europe,London,160,11.14
132.145.40.170,2082,2082,false,LHR,Europe,London,158,11.14
140.238.215.56,2053,0,true,MXP,Europe,Milan,173,11.14
132.145.44.85,2053,0,true,LHR,Europe,London,215,11.14
132.145.62.117,2087,0,true,LHR,Europe,London,173,11.14
141.147.158.103,80,0,false,KIX,Asia Pacific,Osaka,88,11.14
129.154.193.189,443,80,true,NRT,Asia Pacific,Tokyo,85,11.14
132.145.47.251,8443,0,true,LHR,Europe,London,158,11.14
132.145.75.76,80,80,false,LHR,Europe,London,230,11.13
132.145.74.116,2083,0,true,LHR,Europe,London,160,11.13
193.123.224.240,2087,0,true,NRT,Asia Pacific,Tokyo,103,11.13
140.238.208.41,8443,0,true,MXP,Europe,Milan,155,11.13
158.180.78.195,2052,0,false,NRT,Asia Pacific,Tokyo,114,11.13
141.147.145.74,8080,0,false,KIX,Asia Pacific,Osaka,78,11.13
132.145.34.194,8880,8880,false,LHR,Europe,London,161,11.13
132.145.40.11,2086,2086,false,LHR,Europe,London,209,11.13
132.145.73.236,2095,2095,false,LHR,Europe,London,221,11.13
158.180.66.96,2052,2052,false,NRT,Asia Pacific,Tokyo,119,11.13
144.24.81.77,2053,0,true,NRT,Asia Pacific,Tokyo,186,11.13
140.238.219.13,8443,0,true,MXP,Europe,Milan,175,11.12
132.145.34.171,2087,0,true,LHR,Europe,London,178,11.12
132.145.50.98,2096,0,true,LHR,Europe,London,163,11.12
132.145.73.119,8880,0,false,LHR,Europe,London,183,11.12
193.122.110.51,2082,0,false,NRT,Asia Pacific,Tokyo,105,11.12
158.180.84.210,2095,0,false,NRT,Asia Pacific,Tokyo,120,11.12
129.154.198.61,443,80,true,NRT,Asia Pacific,Tokyo,66,11.12
158.180.72.106,8443,8443,true,ICN,Asia Pacific,Seoul,97,11.12
193.123.242.146,8880,8880,false,NRT,Asia Pacific,Tokyo,105,11.12
152.67.197.198,8080,0,false,NRT,Asia Pacific,Tokyo,119,11.12
132.145.78.79,80,80,false,LHR,Europe,London,182,11.12
132.145.38.240,2086,2086,false,LHR,Europe,London,160,11.12
131.186.20.174,2083,0,true,NRT,Asia Pacific,Tokyo,106,11.12
132.145.34.143,2083,0,true,LHR,Europe,London,183,11.12
158.180.90.171,2052,0,false,NRT,Asia Pacific,Tokyo,115,11.12
132.145.36.63,2052,2052,false,LHR,Europe,London,190,11.12
132.145.75.42,2053,0,true,LHR,Europe,London,190,11.12
132.145.70.222,2052,2052,false,LHR,Europe,London,237,11.11
132.145.68.74,2095,2095,false,LHR,Europe,London,161,11.11
132.145.44.230,2082,2082,false,LHR,Europe,London,173,11.11
144.21.63.50,2087,0,true,LHR,Europe,London,183,11.11
141.147.145.74,2083,0,true,KIX,Asia Pacific,Osaka,78,11.11
132.145.39.240,80,80,false,LHR,Europe,London,191,11.11
132.145.53.69,2086,2086,false,LHR,Europe,London,159,11.11
140.83.87.100,2086,2086,false,NRT,Asia Pacific,Tokyo,92,11.11
132.145.13.75,80,80,false,LHR,Europe,London,206,11.11
132.145.46.16,2086,2086,false,LHR,Europe,London,158,11.11
132.145.45.56,2086,2086,false,LHR,Europe,London,160,11.11
193.123.239.122,2086,2086,false,NRT,Asia Pacific,Tokyo,102,11.11
132.145.42.132,2096,0,true,LHR,Europe,London,250,11.11
132.145.43.15,443,80,true,LHR,Europe,London,173,11.11
144.21.57.183,2082,2082,false,LHR,Europe,London,195,11.10
144.24.75.185,2096,0,true,NRT,Asia Pacific,Tokyo,125,11.10
132.145.32.232,2096,0,true,LHR,Europe,London,176,11.10
158.180.90.171,2087,2087,true,NRT,Asia Pacific,Tokyo,339,11.10
132.145.75.185,2053,0,true,LHR,Europe,London,234,11.10
193.123.239.122,2095,2095,false,NRT,Asia Pacific,Tokyo,98,11.10
129.154.214.111,8880,8880,false,ICN,Asia Pacific,Seoul,76,11.10
132.145.62.83,2053,0,true,LHR,Europe,London,242,11.10
132.145.32.61,8080,8080,false,LHR,Europe,London,158,11.10
144.21.51.231,8880,8880,false,LHR,Europe,London,162,11.10
132.145.40.11,2095,2095,false,LHR,Europe,London,178,11.10
131.186.25.200,80,80,false,NRT,Asia Pacific,Tokyo,103,11.09
132.145.35.202,443,80,true,LHR,Europe,London,236,11.09
158.180.73.170,2087,0,true,NRT,Asia Pacific,Tokyo,115,11.09
132.145.44.99,80,80,false,LHR,Europe,London,160,11.09
130.162.159.67,80,80,false,NRT,Asia Pacific,Tokyo,100,11.09
89.168.69.176,2082,2082,false,FRA,Europe,Frankfurt,179,11.09
140.238.216.43,8443,0,true,MXP,Europe,Milan,182,11.09
132.145.34.79,2083,0,true,LHR,Europe,London,174,11.09
132.145.46.249,2053,0,true,LHR,Europe,London,176,11.09
132.145.74.51,2086,2086,false,LHR,Europe,London,173,11.09
132.145.34.137,2083,0,true,LHR,Europe,London,191,11.09
152.67.196.107,80,80,false,NRT,Asia Pacific,Tokyo,112,11.09
158.180.74.166,2052,0,false,NRT,Asia Pacific,Tokyo,115,11.09
132.145.13.75,2087,0,true,LHR,Europe,London,181,11.09
144.21.61.70,2083,0,true,LHR,Europe,London,160,11.09
144.21.62.156,2083,0,true,LHR,Europe,London,160,11.08
132.145.14.225,2087,0,true,LHR,Europe,London,181,11.08
132.145.74.209,8080,8080,false,LHR,Europe,London,171,11.08
132.145.34.39,2095,2095,false,LHR,Europe,London,190,11.08
132.145.41.247,443,80,true,LHR,Europe,London,159,11.08
158.180.70.108,2083,0,true,NRT,Asia Pacific,Tokyo,113,11.08
132.145.35.128,2096,0,true,LHR,Europe,London,160,11.08
132.145.38.122,2082,2082,false,LHR,Europe,London,159,11.08
132.145.68.170,2095,2095,false,LHR,Europe,London,173,11.08
158.180.90.56,2096,0,true,NRT,Asia Pacific,Tokyo,118,11.08
158.180.72.225,2086,2086,false,NRT,Asia Pacific,Tokyo,112,11.08
132.145.73.210,8880,8880,false,LHR,Europe,London,177,11.07
146.56.113.12,8880,0,false,NRT,Asia Pacific,Tokyo,112,11.07
144.21.52.215,2086,2086,false,LHR,Europe,London,160,11.07
132.145.44.5,2052,2052,false,LHR,Europe,London,182,11.07
144.24.81.159,8443,0,true,ICN,Asia Pacific,Seoul,94,11.07
132.145.69.201,2082,2082,false,LHR,Europe,London,190,11.07
132.145.37.68,2082,2082,false,LHR,Europe,London,160,11.07
132.145.32.5,2083,0,true,LHR,Europe,London,174,11.07
144.21.63.236,2087,0,true,LHR,Europe,London,177,11.07
132.145.46.18,2096,0,true,LHR,Europe,London,160,11.07
152.70.242.147,2095,2095,false,NRT,Asia Pacific,Tokyo,97,11.07
144.21.52.100,8443,0,true,LHR,Europe,London,189,11.07
132.145.45.102,2053,0,true,LHR,Europe,London,200,11.07
130.162.158.109,2083,2083,true,NRT,Asia Pacific,Tokyo,273,11.06
132.145.59.215,8880,8880,false,LHR,Europe,London,175,11.06
132.145.53.68,8443,0,true,LHR,Europe,London,177,11.06
158.180.72.200,2095,2095,false,NRT,Asia Pacific,Tokyo,108,11.06
132.145.35.238,80,80,false,LHR,Europe,London,219,11.06
144.21.52.147,2095,2095,false,LHR,Europe,London,207,11.06
132.145.43.15,8443,0,true,LHR,Europe,London,183,11.06
132.145.68.225,2086,0,false,LHR,Europe,London,177,11.06
132.145.33.226,2086,2086,false,LHR,Europe,London,159,11.06
158.180.72.184,2053,0,true,NRT,Asia Pacific,Tokyo,118,11.06
132.145.73.75,8880,8880,false,LHR,Europe,London,184,11.06
132.145.73.243,8080,8080,false,LHR,Europe,London,160,11.06
132.145.75.165,8443,0,true,LHR,Europe,London,182,11.06
132.145.74.116,2052,2052,false,LHR,Europe,London,176,11.06
132.145.13.225,2095,2095,false,LHR,Europe,London,159,11.05
141.147.158.93,443,0,true,KIX,Asia Pacific,Osaka,83,11.05
132.145.45.137,2096,0,true,LHR,Europe,London,161,11.05
141.147.159.52,2095,0,false,KIX,Asia Pacific,Osaka,80,11.05
132.145.36.110,2096,0,true,LHR,Europe,London,171,11.05
132.145.42.186,8443,0,true,LHR,Europe,London,177,11.05
168.138.44.130,2095,0,false,KIX,Asia Pacific,Osaka,87,11.05
132.145.40.11,2082,2082,false,LHR,Europe,London,172,11.05
132.145.55.166,8443,0,true,LHR,Europe,London,183,11.05
140.83.81.65,8443,0,true,KIX,Asia Pacific,Osaka,97,11.05
141.147.158.103,2052,0,false,KIX,Asia Pacific,Osaka,93,11.04
158.180.81.113,2053,0,true,NRT,Asia Pacific,Tokyo,115,11.04
144.21.58.201,2052,2052,false,LHR,Europe,London,159,11.04
132.145.37.227,2052,2052,false,LHR,Europe,London,176,11.04
132.145.52.65,2086,2086,false,LHR,Europe,London,228,11.04
132.145.46.204,8080,8080,false,LHR,Europe,London,159,11.04
140.238.98.65,2096,0,true,LHR,Europe,London,161,11.04
141.147.148.138,2086,0,false,KIX,Asia Pacific,Osaka,79,11.04
132.145.72.238,2086,2086,false,LHR,Europe,London,190,11.04
132.145.38.122,2086,2086,false,LHR,Europe,London,160,11.04
132.145.39.240,2053,0,true,LHR,Europe,London,170,11.04
140.238.211.149,2096,0,true,MXP,Europe,Milan,175,11.04
132.145.76.114,8080,0,false,LHR,Europe,London,171,11.04
132.145.68.229,2053,0,true,LHR,Europe,London,176,11.04
132.145.36.18,2082,2082,false,LHR,Europe,London,174,11.04
132.145.55.158,8880,8880,false,LHR,Europe,London,158,11.03
152.67.213.30,2095,0,false,NRT,Asia Pacific,Tokyo,113,11.03
132.145.47.250,443,80,true,LHR,Europe,London,176,11.03
140.238.1.71,8443,0,true,NRT,Asia Pacific,Tokyo,92,11.03
132.145.39.170,2096,0,true,LHR,Europe,London,182,11.03
132.145.35.166,80,80,false,LHR,Europe,London,186,11.03
193.122.103.122,2095,2095,false,NRT,Asia Pacific,Tokyo,108,11.03
132.145.53.69,2095,2095,false,LHR,Europe,London,183,11.03
129.154.196.8,2096,0,true,NRT,Asia Pacific,Tokyo,105,11.03
132.145.36.136,80,0,false,LHR,Europe,London,160,11.03
132.145.40.156,80,80,false,LHR,Europe,London,211,11.03
152.67.198.107,2082,2082,false,NRT,Asia Pacific,Tokyo,114,11.03
132.145.68.74,2087,0,true,LHR,Europe,London,160,11.02
158.180.73.17,8443,0,true,NRT,Asia Pacific,Tokyo,114,11.02
158.180.70.108,2052,0,false,NRT,Asia Pacific,Tokyo,115,11.02
132.145.47.219,2082,2082,false,LHR,Europe,London,173,11.02
158.180.71.51,2082,2082,false,NRT,Asia Pacific,Tokyo,108,11.02
140.238.215.210,2087,0,true,ZRH,Europe,Zurich,162,11.02
132.145.42.226,2053,0,true,LHR,Europe,London,159,11.02
193.122.98.11,8443,0,true,ICN,Asia Pacific,Seoul,95,11.02
140.238.216.43,2087,0,true,MXP,Europe,Milan,190,11.02
132.145.64.237,2082,2082,false,LHR,Europe,London,177,11.02
152.70.83.89,2053,0,true,KIX,Asia Pacific,Osaka,82,11.02
193.123.235.94,2052,2052,false,NRT,Asia Pacific,Tokyo,97,11.01
141.147.159.104,2086,0,false,KIX,Asia Pacific,Osaka,75,11.01
132.145.71.2,8880,8880,false,LHR,Europe,London,183,11.01
132.145.71.247,8080,8080,false,LHR,Europe,London,212,11.01
132.145.36.110,2053,0,true,LHR,Europe,London,161,11.01
132.145.43.35,80,80,false,LHR,Europe,London,176,11.01
158.180.66.68,2052,2052,false,ICN,Asia Pacific,Seoul,88,11.01
141.147.157.184,2052,0,false,KIX,Asia Pacific,Osaka,94,11.01
140.238.217.164,8443,0,true,MXP,Europe,Milan,151,11.01
132.145.78.79,8880,8880,false,LHR,Europe,London,182,11.01
132.145.71.99,2082,2082,false,LHR,Europe,London,174,11.00
158.180.71.51,2083,0,true,NRT,Asia Pacific,Tokyo,122,11.00
132.145.49.238,2052,2052,false,LHR,Europe,London,161,11.00
132.145.49.238,80,80,false,LHR,Europe,London,158,11.00
152.67.216.114,2087,0,true,NRT,Asia Pacific,Tokyo,123,11.00
132.145.61.47,2053,0,true,LHR,Europe,London,161,11.00
140.238.101.56,2087,0,true,LHR,Europe,London,177,11.00
132.145.43.35,2053,0,true,LHR,Europe,London,195,11.00
132.145.69.99,2086,2086,false,LHR,Europe,London,181,11.00
158.180.65.118,2082,2082,false,ICN,Asia Pacific,Seoul,77,11.00
140.238.217.157,2083,0,true,MXP,Europe,Milan,175,11.00
152.67.215.72,80,80,false,ICN,Asia Pacific,Seoul,82,11.00
144.21.60.248,8080,8080,false,LHR,Europe,London,177,10.99
132.145.40.150,8880,8880,false,LHR,Europe,London,182,10.99
132.145.37.172,443,80,true,LHR,Europe,London,181,10.99
132.145.72.239,2086,2086,false,LHR,Europe,London,159,10.99
132.145.38.229,443,0,true,LHR,Europe,London,171,10.99
132.145.75.54,80,80,false,LHR,Europe,London,189,10.99
132.145.44.85,2052,2052,false,LHR,Europe,London,160,10.99
132.145.34.171,8443,0,true,LHR,Europe,London,203,10.99
130.162.158.81,2086,2086,false,NRT,Asia Pacific,Tokyo,130,10.99
140.238.217.147,2083,0,true,FRA,Europe,Frankfurt,178,10.99
141.147.157.20,2096,0,true,KIX,Asia Pacific,Osaka,170,10.99
168.138.172.185,2083,0,true,SIN,Asia Pacific,Singapore,28,10.99
193.123.249.197,2096,0,true,NRT,Asia Pacific,Tokyo,114,10.99
158.180.66.96,8443,0,true,NRT,Asia Pacific,Tokyo,137,10.99
132.145.72.227,8880,8880,false,LHR,Europe,London,184,10.98
132.145.44.85,2096,0,true,LHR,Europe,London,175,10.98
131.186.17.231,2087,2087,true,NRT,Asia Pacific,Tokyo,111,10.98
132.145.47.31,2082,2082,false,LHR,Europe,London,158,10.98
144.21.48.19,2052,2052,false,LHR,Europe,London,172,10.98
152.67.209.20,2083,0,true,NRT,Asia Pacific,Tokyo,131,10.98
144.21.54.66,2082,2082,false,LHR,Europe,London,177,10.98
140.238.214.119,8443,0,true,MXP,Europe,Milan,173,10.98
141.147.149.111,2083,0,true,KIX,Asia Pacific,Osaka,83,10.98
132.145.38.180,2087,0,true,LHR,Europe,London,196,10.98
144.21.58.128,8443,0,true,LHR,Europe,London,162,10.97
193.123.235.94,80,80,false,NRT,Asia Pacific,Tokyo,107,10.97
132.145.34.123,8880,8880,false,LHR,Europe,London,187,10.97
141.147.159.139,2096,0,true,KIX,Asia Pacific,Osaka,114,10.97
158.180.66.248,2052,2052,false,ICN,Asia Pacific,Seoul,83,10.97
132.145.42.96,2083,0,true,LHR,Europe,London,160,10.97
132.145.32.146,8443,0,true,LHR,Europe,London,159,10.97
152.70.83.89,2086,0,false,KIX,Asia Pacific,Osaka,81,10.97
132.145.41.12,2053,0,true,LHR,Europe,London,173,10.97
144.21.57.123,443,80,true,LHR,Europe,London,184,10.96
132.145.75.76,2082,2082,false,LHR,Europe,London,176,10.96
152.67.218.81,2053,0,true,ICN,Asia Pacific,Seoul,84,10.96
132.145.74.173,2086,2086,false,LHR,Europe,London,181,10.96
132.145.68.170,2096,0,true,LHR,Europe,London,169,10.96
132.145.42.190,2052,2052,false,LHR,Europe,London,191,10.96
129.154.60.254,2083,0,true,ICN,Asia Pacific,Seoul,83,10.96
132.145.44.125,80,80,false,LHR,Europe,London,190,10.96
193.123.224.89,2087,0,true,NRT,Asia Pacific,Tokyo,107,10.96
141.147.159.52,2083,0,true,KIX,Asia Pacific,Osaka,73,10.95
132.226.21.145,2087,2087,true,NRT,Asia Pacific,Tokyo,105,10.95
158.179.195.203,2052,2052,false,NRT,Asia Pacific,Tokyo,116,10.95
144.21.56.180,8080,8080,false,LHR,Europe,London,173,10.95
64.110.100.253,8080,0,false,KIX,Asia Pacific,Osaka,79,10.95
140.238.208.41,2096,0,true,MXP,Europe,Milan,173,10.95
132.145.35.128,2083,0,true,LHR,Europe,London,160,10.95
158.180.73.61,2053,0,true,NRT,Asia Pacific,Tokyo,126,10.95
158.180.73.201,2086,2086,false,NRT,Asia Pacific,Tokyo,108,10.95
141.147.145.74,2086,0,false,KIX,Asia Pacific,Osaka,74,10.95
152.67.198.23,80,80,false,NRT,Asia Pacific,Tokyo,122,10.95
132.145.46.140,443,80,true,LHR,Europe,London,175,10.95
132.145.39.170,8880,8880,false,LHR,Europe,London,159,10.95
193.123.225.164,2095,2095,false,NRT,Asia Pacific,Tokyo,104,10.95
144.21.58.201,2082,2082,false,LHR,Europe,London,161,10.95
158.180.72.184,2096,0,true,NRT,Asia Pacific,Tokyo,189,10.95
144.21.56.180,2095,2095,false,LHR,Europe,London,177,10.95
152.67.196.122,2087,0,true,NRT,Asia Pacific,Tokyo,128,10.95
152.70.92.11,8080,8080,false,NRT,Asia Pacific,Tokyo,115,10.95
132.145.64.237,8080,8080,false,LHR,Europe,London,159,10.95
132.145.32.105,2053,0,true,LHR,Europe,London,180,10.95
144.21.52.100,2096,0,true,LHR,Europe,London,159,10.95
132.145.32.61,2082,2082,false,LHR,Europe,London,160,10.95
132.145.50.217,2052,2052,false,LHR,Europe,London,173,10.95
140.83.50.201,443,0,true,KIX,Asia Pacific,Osaka,99,10.95
213.35.115.111,2095,0,false,SIN,Asia Pacific,Singapore,2,10.94
144.21.57.80,2083,0,true,LHR,Europe,London,177,10.94
158.180.65.242,8080,8080,false,NRT,Asia Pacific,Tokyo,113,10.94
144.21.57.199,80,80,false,LHR,Europe,London,196,10.94
132.145.34.246,2096,0,true,LHR,Europe,London,160,10.94
132.145.72.160,2052,2052,false,LHR,Europe,London,158,10.94
132.145.46.249,2095,2095,false,LHR,Europe,London,160,10.94
140.238.1.42,8080,8080,false,NRT,Asia Pacific,Tokyo,102,10.94
158.180.73.61,2082,2082,false,NRT,Asia Pacific,Tokyo,115,10.94
132.145.46.18,2083,0,true,LHR,Europe,London,184,10.93
140.83.82.196,8880,0,false,KIX,Asia Pacific,Osaka,86,10.93
132.145.36.171,2087,0,true,LHR,Europe,London,196,10.93
132.145.50.251,8880,8880,false,LHR,Europe,London,182,10.93
132.145.68.229,2096,0,true,LHR,Europe,London,182,10.93
132.226.19.60,2095,0,false,NRT,Asia Pacific,Tokyo,109,10.93
168.138.172.185,2053,0,true,SIN,Asia Pacific,Singapore,16,10.93
144.21.52.215,2082,2082,false,LHR,Europe,London,235,10.93
132.145.59.33,2096,0,true,LHR,Europe,London,196,10.93
144.21.60.91,443,80,true,LHR,Europe,London,158,10.93
132.145.39.74,8443,0,true,LHR,Europe,London,174,10.93
158.180.68.135,8880,8880,false,NRT,Asia Pacific,Tokyo,108,10.92
132.145.32.215,2086,2086,false,LHR,Europe,London,176,10.92
132.145.37.107,8443,0,true,LHR,Europe,London,196,10.92
152.67.196.122,2053,0,true,NRT,Asia Pacific,Tokyo,122,10.92
132.145.45.20,443,80,true,LHR,Europe,London,186,10.92
144.24.74.115,2095,2095,false,NRT,Asia Pacific,Tokyo,118,10.91
168.138.38.63,2082,0,false,KIX,Asia Pacific,Osaka,82,10.91
132.145.47.219,2052,2052,false,LHR,Europe,London,183,10.91
193.123.242.146,2096,0,true,NRT,Asia Pacific,Tokyo,107,10.91
140.238.213.219,2087,0,true,MXP,Europe,Milan,174,10.91
132.226.169.156,2087,0,true,NRT,Asia Pacific,Tokyo,106,10.91
132.145.77.60,2052,2052,false,LHR,Europe,London,160,10.91
152.67.193.200,2086,2086,false,NRT,Asia Pacific,Tokyo,126,10.91
132.145.73.26,2053,0,true,LHR,Europe,London,199,10.91
152.67.220.154,443,0,true,NRT,Asia Pacific,Tokyo,119,10.91
140.83.49.23,2053,0,true,KIX,Asia Pacific,Osaka,71,10.90
132.145.73.210,2052,2052,false,LHR,Europe,London,161,10.90
132.145.46.18,2095,2095,false,LHR,Europe,London,211,10.90
132.145.10.61,8443,0,true,LHR,Europe,London,197,10.90
140.238.0.186,2052,2052,false,ICN,Asia Pacific,Seoul,75,10.90
158.180.67.66,8443,0,true,NRT,Asia Pacific,Tokyo,133,10.90
152.67.214.231,2083,0,true,NRT,Asia Pacific,Tokyo,112,10.90
132.145.45.20,2095,2095,false,LHR,Europe,London,161,10.90
140.238.0.186,8880,8880,false,ICN,Asia Pacific,Seoul,80,10.90
132.145.37.212,2096,0,true,LHR,Europe,London,160,10.90
