IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
132.145.42.226,2052,2052,false,LHR,Europe,London,175,11.23
131.186.21.96,2086,2086,false,NRT,Asia Pacific,Tokyo,104,11.23
144.21.52.215,2087,0,true,LHR,Europe,London,158,11.22
141.147.159.9,443,80,true,NRT,Asia Pacific,Tokyo,96,11.22
132.145.76.114,2083,0,true,LHR,Europe,London,171,11.22
140.83.80.163,2082,0,false,KIX,Asia Pacific,Osaka,71,11.22
140.238.215.56,8080,0,false,MXP,Europe,Milan,173,11.22
144.21.61.70,2052,2052,false,LHR,Europe,London,173,11.22
152.67.208.157,8880,8880,false,NRT,Asia Pacific,Tokyo,124,11.22
129.154.194.209,2053,0,true,NRT,Asia Pacific,Tokyo,113,11.22
158.180.72.198,2087,0,true,NRT,Asia Pacific,Tokyo,119,11.22
132.145.33.85,443,80,true,LHR,Europe,London,194,11.22
132.145.60.201,2096,0,true,LHR,Europe,London,182,11.22
132.145.42.23,2095,2095,false,LHR,Europe,London,173,11.22
140.238.217.165,2096,0,true,MXP,Europe,Milan,162,11.22
132.145.40.150,2096,0,true,LHR,Europe,London,200,11.22
158.180.81.113,443,80,true,NRT,Asia Pacific,Tokyo,236,11.22
132.145.33.11,2096,0,true,LHR,Europe,London,190,11.22
158.180.65.242,2095,2095,false,NRT,Asia Pacific,Tokyo,115,11.22
132.145.45.20,80,80,false,LHR,Europe,London,160,11.22
141.147.150.242,2052,0,false,KIX,Asia Pacific,Osaka,70,11.21
141.147.159.52,2053,0,true,KIX,Asia Pacific,Osaka,80,11.21
140.238.218.176,2087,0,true,ZRH,Europe,Zurich,147,11.21
158.180.73.61,8080,0,false,NRT,Asia Pacific,Tokyo,119,11.21
131.186.19.111,2082,2082,false,NRT,Asia Pacific,Tokyo,103,11.21
158.180.87.130,2053,2053,true,NRT,Asia Pacific,Tokyo,258,11.21
144.21.61.43,8443,0,true,LHR,Europe,London,181,11.21
132.145.62.93,8443,0,true,LHR,Europe,London,187,11.21
131.186.20.174,2053,0,true,NRT,Asia Pacific,Tokyo,104,11.21
158.180.84.48,2096,0,true,NRT,Asia Pacific,Tokyo,148,11.21
158.180.73.201,2053,0,true,NRT,Asia Pacific,Tokyo,115,11.21
132.145.42.5,2086,2086,false,LHR,Europe,London,160,11.21
132.145.69.183,2082,2082,false,LHR,Europe,London,183,11.21
131.186.29.243,2096,0,true,NRT,Asia Pacific,Tokyo,104,11.21
132.145.74.173,2052,2052,false,LHR,Europe,London,160,11.21
132.145.37.107,2083,0,true,LHR,Europe,London,166,11.21
146.56.112.158,2095,0,false,NRT,Asia Pacific,Tokyo,115,11.20
132.145.74.111,8880,8880,false,LHR,Europe,London,186,11.20
141.147.149.208,2083,0,true,KIX,Asia Pacific,Osaka,89,11.20
131.186.29.125,80,0,false,NRT,Asia Pacific,Tokyo,102,11.20
158.180.84.132,2053,0,true,ICN,Asia Pacific,Seoul,94,11.20
132.145.43.129,2096,0,true,LHR,Europe,London,161,11.20
140.238.99.247,2096,0,true,LHR,Europe,London,174,11.20
132.145.75.165,2095,2095,false,LHR,Europe,London,196,11.20
130.162.158.109,8880,8880,false,NRT,Asia Pacific,Tokyo,108,11.20
132.145.42.186,2087,0,true,LHR,Europe,London,159,11.20
131.186.17.231,2096,0,true,NRT,Asia Pacific,Tokyo,108,11.20
132.145.72.238,2052,2052,false,LHR,Europe,London,176,11.20
132.145.55.158,2096,0,true,LHR,Europe,London,159,11.20
132.145.79.98,2052,2052,false,LHR,Europe,London,170,11.19
141.147.157.20,2082,0,false,KIX,Asia Pacific,Osaka,84,11.19
141.147.151.64,8080,0,false,KIX,Asia Pacific,Osaka,71,11.19
132.145.53.69,8080,8080,false,LHR,Europe,London,164,11.19
144.21.60.91,8080,8080,false,LHR,Europe,London,180,11.19
140.238.216.43,80,0,false,MXP,Europe,Milan,174,11.19
140.238.2.205,2053,0,true,NRT,Asia Pacific,Tokyo,104,11.19
132.145.73.50,2053,0,true,LHR,Europe,London,196,11.19
130.162.151.183,8080,0,false,ICN,Asia Pacific,Seoul,69,11.19
158.180.79.192,2052,0,false,ICN,Asia Pacific,Seoul,97,11.19
144.21.56.198,2052,2052,false,LHR,Europe,London,159,11.19
132.145.36.171,2082,2082,false,LHR,Europe,London,160,11.19
132.145.39.254,2082,0,false,LHR,Europe,London,191,11.19
132.226.19.60,443,0,true,NRT,Asia Pacific,Tokyo,111,11.19
132.145.46.104,8080,8080,false,LHR,Europe,London,161,11.18
132.226.23.129,2087,0,true,NRT,Asia Pacific,Tokyo,107,11.18
158.180.82.55,2083,0,true,NRT,Asia Pacific,Tokyo,134,11.18
132.145.75.76,8080,8080,false,LHR,Europe,London,222,11.18
132.145.36.40,2082,2082,false,LHR,Europe,London,181,11.18
64.110.106.236,80,0,false,KIX,Asia Pacific,Osaka,77,11.18
132.145.43.15,8880,8880,false,LHR,Europe,London,199,11.18
132.145.46.170,8443,0,true,LHR,Europe,London,187,11.18
158.180.74.166,2096,0,true,NRT,Asia Pacific,Tokyo,121,11.18
152.67.193.200,8443,0,true,NRT,Asia Pacific,Tokyo,120,11.18
132.145.38.55,2095,2095,false,LHR,Europe,London,210,11.18
152.70.88.229,2087,0,true,NRT,Asia Pacific,Tokyo,135,11.18
144.21.48.19,443,80,true,LHR,Europe,London,213,11.17
132.226.169.156,2086,0,false,NRT,Asia Pacific,Tokyo,112,11.17
129.154.62.112,443,0,true,ICN,Asia Pacific,Seoul,90,11.17
129.154.58.182,2096,0,true,NRT,Asia Pacific,Tokyo,120,11.17
158.180.72.200,2082,2082,false,NRT,Asia Pacific,Tokyo,114,11.17
132.145.37.179,2095,2095,false,LHR,Europe,London,228,11.17
132.145.34.87,2095,2095,false,LHR,Europe,London,159,11.16
132.145.74.151,2053,0,true,LHR,Europe,London,183,11.16
140.238.219.13,2096,0,true,MXP,Europe,Milan,165,11.16
132.145.55.195,2096,0,true,LHR,Europe,London,175,11.16
158.180.92.61,80,80,false,ICN,Asia Pacific,Seoul,77,11.16
132.145.40.150,2086,2086,false,LHR,Europe,London,181,11.16
144.21.63.58,2086,2086,false,LHR,Europe,London,181,11.16
