IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.254.140.57,8443,0,true,FRA,Europe,Frankfurt,174,10.14
47.254.183.14,2086,0,false,FRA,Europe,Frankfurt,185,10.14
47.254.183.247,2095,0,false,FRA,Europe,Frankfurt,165,10.13
8.219.140.1,2095,0,false,SIN,Asia Pacific,Singapore,5,10.13
47.254.184.148,2087,0,true,FRA,Europe,Frankfurt,193,10.13
47.254.171.55,2083,0,true,FRA,Europe,Frankfurt,194,10.13
47.254.133.13,2083,0,true,AMS,Europe,Amsterdam,175,10.13
47.254.171.93,8080,0,false,FRA,Europe,Frankfurt,171,10.13
47.254.183.14,2095,2095,false,AMS,Europe,Amsterdam,216,10.13
8.219.99.87,2086,0,false,SIN,Asia Pacific,Singapore,5,10.12
47.254.141.151,2086,2086,false,FRA,Europe,Frankfurt,186,10.12
47.254.141.25,2082,0,false,FRA,Europe,Frankfurt,171,10.12
47.254.140.167,2096,0,true,AMS,Europe,Amsterdam,187,10.12
47.254.148.234,8443,0,true,FRA,Europe,Frankfurt,192,10.12
47.254.173.222,2095,2095,false,FRA,Europe,Frankfurt,172,10.11
47.254.144.161,8880,0,false,FRA,Europe,Frankfurt,165,10.11
47.254.151.133,2053,0,true,FRA,Europe,Frankfurt,177,10.11
47.254.175.100,2053,0,true,FRA,Europe,Frankfurt,179,10.11
8.219.60.54,2053,0,true,SIN,Asia Pacific,Singapore,54,10.11
8.219.161.129,8443,8443,true,SIN,Asia Pacific,Singapore,30,10.11
47.254.143.125,2086,2086,false,FRA,Europe,Frankfurt,172,10.11
47.254.181.181,8880,0,false,AMS,Europe,Amsterdam,175,10.11
47.254.158.180,2096,0,true,FRA,Europe,Frankfurt,173,10.10
47.254.131.171,2052,0,false,FRA,Europe,Frankfurt,173,10.10
8.219.0.162,2096,0,true,SIN,Asia Pacific,Singapore,43,10.10
47.254.181.62,443,0,true,AMS,Europe,Amsterdam,170,10.09
47.254.144.161,443,0,true,FRA,Europe,Frankfurt,167,10.09
47.254.134.83,2082,0,false,AMS,Europe,Amsterdam,179,10.09
47.254.141.102,2087,0,true,FRA,Europe,Frankfurt,199,10.09
47.254.148.6,2087,0,true,FRA,Europe,Frankfurt,177,10.08
8.219.58.58,443,0,true,SIN,Asia Pacific,Singapore,69,10.08
47.254.142.106,2095,0,false,FRA,Europe,Frankfurt,185,10.08
47.254.141.11,2086,0,false,FRA,Europe,Frankfurt,174,10.08
47.245.115.6,443,0,true,SIN,Asia Pacific,Singapore,2,10.07
47.254.144.89,8080,8080,false,FRA,Europe,Frankfurt,177,10.07
47.254.170.100,80,0,false,AMS,Europe,Amsterdam,192,10.07
47.254.159.43,443,80,true,FRA,Europe,Frankfurt,184,10.06
47.254.183.104,8443,0,true,FRA,Europe,Frankfurt,155,10.06
47.254.182.210,443,0,true,FRA,Europe,Frankfurt,179,10.06
8.219.228.193,2082,0,false,SIN,Asia Pacific,Singapore,14,10.06
47.254.133.87,2082,2082,false,FRA,Europe,Frankfurt,155,10.06
47.88.77.61,443,80,true,SJC,North America,San Jose,477,10.06
47.254.143.125,2082,0,false,FRA,Europe,Frankfurt,168,10.05
47.254.151.112,2083,0,true,FRA,Europe,Frankfurt,186,10.05
47.254.152.105,2095,0,false,AMS,Europe,Amsterdam,184,10.05
8.222.222.64,2083,0,true,SIN,Asia Pacific,Singapore,53,10.05
8.219.156.148,2096,0,true,SIN,Asia Pacific,Singapore,39,10.05
47.254.178.104,2086,0,false,FRA,Europe,Frankfurt,172,10.05
47.254.156.95,2096,0,true,FRA,Europe,Frankfurt,155,10.04
8.222.214.231,2083,0,true,SIN,Asia Pacific,Singapore,112,10.04
8.222.244.123,2053,0,true,SIN,Asia Pacific,Singapore,131,10.04
8.219.151.193,2082,0,false,SIN,Asia Pacific,Singapore,6,10.03
47.254.130.81,8443,0,true,FRA,Europe,Frankfurt,175,10.03
47.254.154.76,2096,0,true,FRA,Europe,Frankfurt,201,10.03
47.88.101.16,443,80,true,SJC,North America,San Jose,176,10.03
47.254.184.148,8880,0,false,FRA,Europe,Frankfurt,193,10.03
47.254.129.126,443,0,true,FRA,Europe,Frankfurt,189,10.03
47.254.153.183,8080,0,false,FRA,Europe,Frankfurt,155,10.03
8.219.100.155,443,0,true,SIN,Asia Pacific,Singapore,83,10.03
47.254.141.27,2095,2095,false,FRA,Europe,Frankfurt,171,10.02
47.254.128.192,443,80,true,FRA,Europe,Frankfurt,153,10.02
47.254.182.80,2083,0,true,FRA,Europe,Frankfurt,170,10.02
8.219.156.173,2082,0,false,SIN,Asia Pacific,Singapore,3,10.02
47.254.183.121,2052,0,false,FRA,Europe,Frankfurt,195,10.01
8.219.172.204,443,0,true,SIN,Asia Pacific,Singapore,10,10.01
47.254.130.125,8880,0,false,FRA,Europe,Frankfurt,155,10.01
8.219.122.96,80,80,false,SIN,Asia Pacific,Singapore,8,10.00
47.254.171.93,2083,0,true,AMS,Europe,Amsterdam,178,10.00
47.254.135.73,8080,0,false,FRA,Europe,Frankfurt,195,10.00
47.254.143.84,2095,0,false,FRA,Europe,Frankfurt,188,10.00
8.219.210.64,8080,0,false,SIN,Asia Pacific,Singapore,3,10.00
47.254.170.152,80,80,false,FRA,Europe,Frankfurt,176,10.00
47.254.153.183,2095,0,false,FRA,Europe,Frankfurt,191,10.00
47.254.152.105,8443,0,true,FRA,Europe,Frankfurt,190,9.99
8.212.46.146,80,0,false,IAD,North America,Ashburn,48,9.99
8.219.102.252,2082,0,false,SIN,Asia Pacific,Singapore,5,9.99
47.254.148.192,8443,0,true,FRA,Europe,Frankfurt,172,9.99
47.254.148.152,443,80,true,FRA,Europe,Frankfurt,175,9.99
47.254.157.103,2095,0,false,FRA,Europe,Frankfurt,156,9.99
47.254.131.70,80,0,false,AMS,Europe,Amsterdam,174,9.99
47.254.82.213,8080,0,false,SJC,North America,San Jose,178,9.99
47.254.129.249,2053,0,true,FRA,Europe,Frankfurt,216,9.99
47.254.171.55,8080,8080,false,FRA,Europe,Frankfurt,171,9.99
47.88.100.87,2082,2082,false,SJC,North America,San Jose,184,9.99
47.254.152.221,2082,0,false,FRA,Europe,Frankfurt,190,9.98
8.219.229.46,2083,0,true,SIN,Asia Pacific,Singapore,44,9.98
8.219.228.193,2052,2052,false,SIN,Asia Pacific,Singapore,10,9.98
47.254.141.26,2053,0,true,FRA,Europe,Frankfurt,154,9.98
47.254.156.205,2082,2082,false,FRA,Europe,Frankfurt,164,9.97
8.219.193.202,2087,0,true,SIN,Asia Pacific,Singapore,74,9.97
8.219.100.155,2086,0,false,SIN,Asia Pacific,Singapore,5,9.97
47.254.140.203,8880,0,false,FRA,Europe,Frankfurt,194,9.97
47.254.134.102,2086,0,false,FRA,Europe,Frankfurt,183,9.97
47.254.143.21,443,0,true,FRA,Europe,Frankfurt,162,9.97
47.254.151.52,2083,0,true,FRA,Europe,Frankfurt,165,9.96
47.254.184.104,8880,0,false,FRA,Europe,Frankfurt,174,9.96
47.254.182.18,2082,2082,false,FRA,Europe,Frankfurt,166,9.96
47.254.182.199,2086,2086,false,FRA,Europe,Frankfurt,186,9.96
8.222.244.123,2053,0,true,SIN,Asia Pacific,Singapore,48,9.96
47.254.179.159,8080,0,false,FRA,Europe,Frankfurt,154,9.96
47.254.143.159,443,0,true,FRA,Europe,Frankfurt,183,9.96
8.219.151.193,8443,0,true,SIN,Asia Pacific,Singapore,150,9.95
47.254.169.68,8880,0,false,FRA,Europe,Frankfurt,194,9.95
47.254.155.107,8443,0,true,FRA,Europe,Frankfurt,174,9.95
47.254.155.15,2086,0,false,FRA,Europe,Frankfurt,165,9.94
47.254.147.118,2095,2095,false,FRA,Europe,Frankfurt,165,9.94
47.88.106.22,2087,0,true,SJC,North America,San Jose,182,9.94
47.254.143.84,443,0,true,AMS,Europe,Amsterdam,153,9.94
47.254.131.167,8443,8443,true,FRA,Europe,Frankfurt,172,9.93
47.254.143.125,2052,0,false,FRA,Europe,Frankfurt,154,9.93
47.254.173.222,2086,2086,false,FRA,Europe,Frankfurt,171,9.93
8.219.195.47,2052,0,false,SIN,Asia Pacific,Singapore,25,9.93
47.254.142.44,443,0,true,FRA,Europe,Frankfurt,172,9.92
47.254.142.90,2096,0,true,AMS,Europe,Amsterdam,183,9.92
8.219.140.1,2096,0,true,SIN,Asia Pacific,Singapore,58,9.92
47.254.150.232,2083,0,true,FRA,Europe,Frankfurt,173,9.92
47.88.101.239,2083,0,true,SJC,North America,San Jose,179,9.91
8.219.4.211,8880,0,false,SIN,Asia Pacific,Singapore,11,9.91
47.254.167.88,443,80,true,FRA,Europe,Frankfurt,170,9.91
47.254.182.210,8880,0,false,FRA,Europe,Frankfurt,169,9.91
8.222.212.172,443,0,true,SIN,Asia Pacific,Singapore,53,9.90
47.254.147.40,443,80,true,FRA,Europe,Frankfurt,155,9.90
47.254.149.175,80,0,false,FRA,Europe,Frankfurt,179,9.90
47.88.95.113,2053,0,true,SJC,North America,San Jose,372,9.90
8.219.173.201,2053,0,true,SIN,Asia Pacific,Singapore,72,9.90
8.219.201.8,80,0,false,SIN,Asia Pacific,Singapore,12,9.90
47.254.182.225,8443,0,true,FRA,Europe,Frankfurt,172,9.90
47.254.181.21,443,0,true,AMS,Europe,Amsterdam,167,9.90
47.254.141.112,443,0,true,AMS,Europe,Amsterdam,182,9.89
8.219.156.173,443,0,true,SIN,Asia Pacific,Singapore,125,9.89
47.254.140.169,443,0,true,FRA,Europe,Frankfurt,175,9.89
47.254.155.201,2053,0,true,FRA,Europe,Frankfurt,155,9.88
47.254.142.90,2053,0,true,FRA,Europe,Frankfurt,174,9.88
47.254.183.174,8880,0,false,FRA,Europe,Frankfurt,183,9.87
47.254.143.160,80,0,false,AMS,Europe,Amsterdam,192,9.87
8.219.159.232,2053,0,true,SIN,Asia Pacific,Singapore,84,9.87
47.254.183.130,2082,0,false,FRA,Europe,Frankfurt,182,9.87
47.254.171.93,2087,0,true,FRA,Europe,Frankfurt,168,9.87
47.254.143.118,2052,2052,false,FRA,Europe,Frankfurt,172,9.85
47.254.183.127,443,80,true,FRA,Europe,Frankfurt,165,9.85
47.254.142.114,2086,0,false,FRA,Europe,Frankfurt,164,9.85
47.254.183.130,443,0,true,AMS,Europe,Amsterdam,167,9.85
47.254.140.132,443,0,true,FRA,Europe,Frankfurt,170,9.85
47.254.156.95,8080,0,false,FRA,Europe,Frankfurt,187,9.85
47.254.140.138,2082,2082,false,FRA,Europe,Frankfurt,188,9.84
47.254.182.80,2082,2082,false,FRA,Europe,Frankfurt,195,9.84
47.254.91.72,2086,0,false,SJC,North America,San Jose,317,9.84
47.88.100.87,80,0,false,SJC,North America,San Jose,181,9.84
8.219.195.47,2053,0,true,SIN,Asia Pacific,Singapore,76,9.84
47.254.178.4,2095,0,false,FRA,Europe,Frankfurt,167,9.84
8.219.238.145,2096,2096,true,SIN,Asia Pacific,Singapore,84,9.84
47.254.140.219,443,80,true,FRA,Europe,Frankfurt,175,9.84
47.88.101.26,2052,0,false,SJC,North America,San Jose,286,9.84
47.254.183.228,2087,0,true,FRA,Europe,Frankfurt,175,9.84
8.219.200.145,2053,0,true,SIN,Asia Pacific,Singapore,29,9.84
47.254.156.95,8443,0,true,FRA,Europe,Frankfurt,181,9.84
47.254.177.20,2096,0,true,AMS,Europe,Amsterdam,161,9.83
47.254.149.33,2096,0,true,FRA,Europe,Frankfurt,155,9.82
47.254.184.148,2083,0,true,FRA,Europe,Frankfurt,179,9.82
47.254.133.189,443,0,true,FRA,Europe,Frankfurt,167,9.82
47.254.157.184,443,0,true,AMS,Europe,Amsterdam,175,9.82
47.254.157.122,2052,0,false,AMS,Europe,Amsterdam,194,9.82
47.254.159.217,443,80,true,FRA,Europe,Frankfurt,153,9.82
47.254.176.17,2087,0,true,FRA,Europe,Frankfurt,194,9.81
47.254.169.193,8080,0,false,FRA,Europe,Frankfurt,164,9.81
47.254.134.83,2052,0,false,FRA,Europe,Frankfurt,165,9.81
47.254.132.236,8080,8080,false,AMS,Europe,Amsterdam,207,9.80
47.254.141.232,443,0,true,FRA,Europe,Frankfurt,153,9.80
47.254.135.205,443,0,true,AMS,Europe,Amsterdam,198,9.80
